window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
pre_cue,Fp2,group[T.experimental],-0.075655507546049,0.046641369032747536,-1.6220687581646722,0.10478862667290652,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,half[T.second],0.008251032327280227,0.004432684560145171,1.8614075094506624,0.06268665092033614,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,f,-0.006263447207832195,0.010498864259493803,-0.5965833115870939,0.5507856159283291,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,group[T.experimental]:f,0.0030590383059824057,0.014816811992877108,0.2064572532507653,0.8364337523582015,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,f2,-0.0030445083386382477,0.025026749908650826,-0.12165016830994396,0.9031760799418735,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,group[T.experimental]:f2,0.0074950057476590075,0.035734811540345836,0.20973961872436034,0.833870901944833,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fp2,mean_trial_difficulty,0.04534766146889075,0.028065050632039037,1.6158054394215808,0.10613638515283014,70,5387,1 + f + f2,True,1992.3410853659843,-3954.6821707319687,-3855.8060118917606
pre_cue,Fz,Intercept,1.5145323392445709,0.038369243422034925,39.472561983716254,0.0,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,group[T.experimental],-0.06396736970856655,0.05161396673843323,-1.239342250765908,0.2152187780810222,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,half[T.second],-0.0030255748350597003,0.004341898696364768,-0.6968322032922709,0.4859078101320523,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,f,-0.012057561859716502,0.011389339574515175,-1.0586708545152648,0.2897497057849052,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,group[T.experimental]:f,-0.001297682815145766,0.015942306825135952,-0.08139868523291326,0.9351248946750068,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,f2,-0.04359281527440852,0.030274906508342865,-1.4398992532774835,0.1498959043919921,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,group[T.experimental]:f2,0.02916992465955314,0.042709482449412604,0.6829847375018782,0.4946164868473131,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,Fz,mean_trial_difficulty,0.04620323160415106,0.027428015540672746,1.68452695878186,0.09207987391250841,70,5394,1 + f + f2,True,2088.2548272426357,-4146.509654485271,-4047.614016929776
pre_cue,O1,Intercept,1.3786768026807366,0.050655135591693386,27.216920586168897,4.0960021418712536e-163,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,group[T.experimental],-0.07697701459956734,0.06883984635800237,-1.1182043347285746,0.26347973339013087,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,half[T.second],0.0386835515001347,0.004878772850749791,7.928951128394847,2.2100449137499748e-15,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,f,-0.02151407702953518,0.013322711939999557,-1.6148421677528138,0.10634487882533603,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
